    0x20             SPACE
  0x31af  ㆯ          BOPOMOFO LETTER AUNN
  0x31b0  ㆰ          BOPOMOFO LETTER AM
  0x31b1  ㆱ          BOPOMOFO LETTER OM
  0x31b2  ㆲ          BOPOMOFO LETTER ONG
  0x31b3  ㆳ          BOPOMOFO LETTER INNN
  0x31b4  ㆴ          BOPOMOFO FINAL LETTER P
  0x31b5  ㆵ          BOPOMOFO FINAL LETTER T
  0x31b6  ㆶ          BOPOMOFO FINAL LETTER K
  0x31b7  ㆷ          BOPOMOFO FINAL LETTER H
  0x31b8  ㆸ          BOPOMOFO LETTER GH
  0x31b9  ㆹ          BOPOMOFO LETTER LH
  0x31ba  ㆺ          BOPOMOFO LETTER ZY
  0x31c0  ㇀          CJK STROKE T
  0x31c1  ㇁          CJK STROKE WG
  0x31c2  ㇂          CJK STROKE XG
  0x31c3  ㇃          CJK STROKE BXG
  0x31c4  ㇄          CJK STROKE SW
  0x31c5  ㇅          CJK STROKE HZZ
  0x31c6  ㇆          CJK STROKE HZG
  0x31c7  ㇇          CJK STROKE HP
  0x31c8  ㇈          CJK STROKE HZWG
  0x31c9  ㇉          CJK STROKE SZWG
  0x31ca  ㇊          CJK STROKE HZT
  0x31cb  ㇋          CJK STROKE HZZP
  0x31cc  ㇌          CJK STROKE HPWG
  0x31cd  ㇍          CJK STROKE HZW
  0x31ce  ㇎          CJK STROKE HZZZ
  0x31cf  ㇏          CJK STROKE N
  0x31d0  ㇐          CJK STROKE H
  0x31d1  ㇑          CJK STROKE S
  0x31d2  ㇒          CJK STROKE P
  0x31d3  ㇓          CJK STROKE SP
  0x31d4  ㇔          CJK STROKE D
  0x31d5  ㇕          CJK STROKE HZ
  0x31d6  ㇖          CJK STROKE HG
  0x31d7  ㇗          CJK STROKE SZ
  0x31d8  ㇘          CJK STROKE SWZ
  0x31d9  ㇙          CJK STROKE ST
  0x31da  ㇚          CJK STROKE SG
  0x31db  ㇛          CJK STROKE PD
  0x31dc  ㇜          CJK STROKE PZ
  0x31dd  ㇝          CJK STROKE TN
  0x31de  ㇞          CJK STROKE SZZ
  0x31df  ㇟          CJK STROKE SWG
  0x31e0  ㇠          CJK STROKE HXWG
  0x31e1  ㇡          CJK STROKE HZZZG
  0x31e2  ㇢          CJK STROKE PG
  0x31e3  ㇣          CJK STROKE Q
  0x31f0  ㇰ          KATAKANA LETTER SMALL KU
  0x31f1  ㇱ          KATAKANA LETTER SMALL SI
  0x31f2  ㇲ          KATAKANA LETTER SMALL SU
  0x31f3  ㇳ          KATAKANA LETTER SMALL TO
  0x31f4  ㇴ          KATAKANA LETTER SMALL NU
  0x31f5  ㇵ          KATAKANA LETTER SMALL HA
  0x31f6  ㇶ          KATAKANA LETTER SMALL HI
  0x31f7  ㇷ          KATAKANA LETTER SMALL HU
  0x31f8  ㇸ          KATAKANA LETTER SMALL HE
  0x31f9  ㇹ          KATAKANA LETTER SMALL HO
  0x31fa  ㇺ          KATAKANA LETTER SMALL MU
  0x31fb  ㇻ          KATAKANA LETTER SMALL RA
  0x31fc  ㇼ          KATAKANA LETTER SMALL RI
  0x31fd  ㇽ          KATAKANA LETTER SMALL RU
  0x31fe  ㇾ          KATAKANA LETTER SMALL RE
  0x31ff  ㇿ          KATAKANA LETTER SMALL RO
  0x3200  ㈀          PARENTHESIZED HANGUL KIYEOK
  0x3201  ㈁          PARENTHESIZED HANGUL NIEUN
  0x3202  ㈂          PARENTHESIZED HANGUL TIKEUT
  0x3203  ㈃          PARENTHESIZED HANGUL RIEUL
  0x3204  ㈄          PARENTHESIZED HANGUL MIEUM
  0x3205  ㈅          PARENTHESIZED HANGUL PIEUP
  0x3206  ㈆          PARENTHESIZED HANGUL SIOS
  0x3207  ㈇          PARENTHESIZED HANGUL IEUNG
  0x3208  ㈈          PARENTHESIZED HANGUL CIEUC
  0x3209  ㈉          PARENTHESIZED HANGUL CHIEUCH
  0x320a  ㈊          PARENTHESIZED HANGUL KHIEUKH
  0x320b  ㈋          PARENTHESIZED HANGUL THIEUTH
  0x320c  ㈌          PARENTHESIZED HANGUL PHIEUPH
  0x320d  ㈍          PARENTHESIZED HANGUL HIEUH
  0x320e  ㈎          PARENTHESIZED HANGUL KIYEOK A
  0x320f  ㈏          PARENTHESIZED HANGUL NIEUN A
  0x3210  ㈐          PARENTHESIZED HANGUL TIKEUT A
  0x3211  ㈑          PARENTHESIZED HANGUL RIEUL A
  0x3212  ㈒          PARENTHESIZED HANGUL MIEUM A
  0x3213  ㈓          PARENTHESIZED HANGUL PIEUP A
  0x3214  ㈔          PARENTHESIZED HANGUL SIOS A
  0x3215  ㈕          PARENTHESIZED HANGUL IEUNG A
  0x3216  ㈖          PARENTHESIZED HANGUL CIEUC A
  0x3217  ㈗          PARENTHESIZED HANGUL CHIEUCH A
  0x3218  ㈘          PARENTHESIZED HANGUL KHIEUKH A
  0x3219  ㈙          PARENTHESIZED HANGUL THIEUTH A
  0x321a  ㈚          PARENTHESIZED HANGUL PHIEUPH A
  0x321b  ㈛          PARENTHESIZED HANGUL HIEUH A
  0x321c  ㈜          PARENTHESIZED HANGUL CIEUC U
  0x321d  ㈝          PARENTHESIZED KOREAN CHARACTER OJEON
  0x321e  ㈞          PARENTHESIZED KOREAN CHARACTER O HU
  0x3220  ㈠          PARENTHESIZED IDEOGRAPH ONE
  0x3221  ㈡          PARENTHESIZED IDEOGRAPH TWO
  0x3222  ㈢          PARENTHESIZED IDEOGRAPH THREE
  0x3223  ㈣          PARENTHESIZED IDEOGRAPH FOUR
  0x3224  ㈤          PARENTHESIZED IDEOGRAPH FIVE
  0x3225  ㈥          PARENTHESIZED IDEOGRAPH SIX
  0x3226  ㈦          PARENTHESIZED IDEOGRAPH SEVEN
  0x3227  ㈧          PARENTHESIZED IDEOGRAPH EIGHT
  0x3228  ㈨          PARENTHESIZED IDEOGRAPH NINE
  0x3229  ㈩          PARENTHESIZED IDEOGRAPH TEN
  0x322a  ㈪          PARENTHESIZED IDEOGRAPH MOON
  0x322b  ㈫          PARENTHESIZED IDEOGRAPH FIRE
  0x322c  ㈬          PARENTHESIZED IDEOGRAPH WATER
  0x322d  ㈭          PARENTHESIZED IDEOGRAPH WOOD
  0x322e  ㈮          PARENTHESIZED IDEOGRAPH METAL
  0x322f  ㈯          PARENTHESIZED IDEOGRAPH EARTH
  0x3230  ㈰          PARENTHESIZED IDEOGRAPH SUN
  0x3231  ㈱          PARENTHESIZED IDEOGRAPH STOCK
  0x3232  ㈲          PARENTHESIZED IDEOGRAPH HAVE
  0x3233  ㈳          PARENTHESIZED IDEOGRAPH SOCIETY
  0x3234  ㈴          PARENTHESIZED IDEOGRAPH NAME
  0x3235  ㈵          PARENTHESIZED IDEOGRAPH SPECIAL
  0x3236  ㈶          PARENTHESIZED IDEOGRAPH FINANCIAL
  0x3237  ㈷          PARENTHESIZED IDEOGRAPH CONGRATULATION
  0x3238  ㈸          PARENTHESIZED IDEOGRAPH LABOR
  0x3239  ㈹          PARENTHESIZED IDEOGRAPH REPRESENT
  0x323a  ㈺          PARENTHESIZED IDEOGRAPH CALL
  0x323b  ㈻          PARENTHESIZED IDEOGRAPH STUDY
  0x323c  ㈼          PARENTHESIZED IDEOGRAPH SUPERVISE
  0x323d  ㈽          PARENTHESIZED IDEOGRAPH ENTERPRISE
  0x323e  ㈾          PARENTHESIZED IDEOGRAPH RESOURCE
  0x323f  ㈿          PARENTHESIZED IDEOGRAPH ALLIANCE
  0x3240  ㉀          PARENTHESIZED IDEOGRAPH FESTIVAL
  0x3241  ㉁          PARENTHESIZED IDEOGRAPH REST
  0x3242  ㉂          PARENTHESIZED IDEOGRAPH SELF
  0x3243  ㉃          PARENTHESIZED IDEOGRAPH REACH
  0x3244  ㉄          CIRCLED IDEOGRAPH QUESTION
  0x3245  ㉅          CIRCLED IDEOGRAPH KINDERGARTEN
  0x3246  ㉆          CIRCLED IDEOGRAPH SCHOOL
  0x3247  ㉇          CIRCLED IDEOGRAPH KOTO
  0x3248  ㉈          CIRCLED NUMBER TEN ON BLACK SQUARE
  0x3249  ㉉          CIRCLED NUMBER TWENTY ON BLACK SQUARE
  0x324a  ㉊          CIRCLED NUMBER THIRTY ON BLACK SQUARE
  0x324b  ㉋          CIRCLED NUMBER FORTY ON BLACK SQUARE
  0x324c  ㉌          CIRCLED NUMBER FIFTY ON BLACK SQUARE
  0x324d  ㉍          CIRCLED NUMBER SIXTY ON BLACK SQUARE
  0x324e  ㉎          CIRCLED NUMBER SEVENTY ON BLACK SQUARE
  0x324f  ㉏          CIRCLED NUMBER EIGHTY ON BLACK SQUARE
  0x3250  ㉐          PARTNERSHIP SIGN
  0x3251  ㉑          CIRCLED NUMBER TWENTY ONE
  0x3252  ㉒          CIRCLED NUMBER TWENTY TWO
  0x3253  ㉓          CIRCLED NUMBER TWENTY THREE
  0x3254  ㉔          CIRCLED NUMBER TWENTY FOUR
  0x3255  ㉕          CIRCLED NUMBER TWENTY FIVE
  0x3256  ㉖          CIRCLED NUMBER TWENTY SIX
  0x3257  ㉗          CIRCLED NUMBER TWENTY SEVEN
  0x3258  ㉘          CIRCLED NUMBER TWENTY EIGHT
  0x3259  ㉙          CIRCLED NUMBER TWENTY NINE
  0x325a  ㉚          CIRCLED NUMBER THIRTY
  0x325b  ㉛          CIRCLED NUMBER THIRTY ONE
  0x325c  ㉜          CIRCLED NUMBER THIRTY TWO
  0x325d  ㉝          CIRCLED NUMBER THIRTY THREE
  0x325e  ㉞          CIRCLED NUMBER THIRTY FOUR
  0x325f  ㉟          CIRCLED NUMBER THIRTY FIVE
  0x3260  ㉠          CIRCLED HANGUL KIYEOK
  0x3261  ㉡          CIRCLED HANGUL NIEUN
  0x3262  ㉢          CIRCLED HANGUL TIKEUT
  0x3263  ㉣          CIRCLED HANGUL RIEUL
  0x3264  ㉤          CIRCLED HANGUL MIEUM
  0x3265  ㉥          CIRCLED HANGUL PIEUP
  0x3266  ㉦          CIRCLED HANGUL SIOS
  0x3267  ㉧          CIRCLED HANGUL IEUNG
  0x3268  ㉨          CIRCLED HANGUL CIEUC
  0x3269  ㉩          CIRCLED HANGUL CHIEUCH
  0x326a  ㉪          CIRCLED HANGUL KHIEUKH
  0x326b  ㉫          CIRCLED HANGUL THIEUTH
  0x326c  ㉬          CIRCLED HANGUL PHIEUPH
  0x326d  ㉭          CIRCLED HANGUL HIEUH
  0x326e  ㉮          CIRCLED HANGUL KIYEOK A
  0x326f  ㉯          CIRCLED HANGUL NIEUN A
  0x3270  ㉰          CIRCLED HANGUL TIKEUT A
  0x3271  ㉱          CIRCLED HANGUL RIEUL A
  0x3272  ㉲          CIRCLED HANGUL MIEUM A
  0x3273  ㉳          CIRCLED HANGUL PIEUP A
  0x3274  ㉴          CIRCLED HANGUL SIOS A
  0x3275  ㉵          CIRCLED HANGUL IEUNG A
  0x3276  ㉶          CIRCLED HANGUL CIEUC A
  0x3277  ㉷          CIRCLED HANGUL CHIEUCH A
  0x3278  ㉸          CIRCLED HANGUL KHIEUKH A
  0x3279  ㉹          CIRCLED HANGUL THIEUTH A
  0x327a  ㉺          CIRCLED HANGUL PHIEUPH A
  0x327b  ㉻          CIRCLED HANGUL HIEUH A
  0x327c  ㉼          CIRCLED KOREAN CHARACTER CHAMKO
  0x327d  ㉽          CIRCLED KOREAN CHARACTER JUEUI
  0x327e  ㉾          CIRCLED HANGUL IEUNG U
  0x327f  ㉿          KOREAN STANDARD SYMBOL
  0x3280  ㊀          CIRCLED IDEOGRAPH ONE
  0x3281  ㊁          CIRCLED IDEOGRAPH TWO
  0x3282  ㊂          CIRCLED IDEOGRAPH THREE
  0x3283  ㊃          CIRCLED IDEOGRAPH FOUR
  0x3284  ㊄          CIRCLED IDEOGRAPH FIVE
  0x3285  ㊅          CIRCLED IDEOGRAPH SIX
  0x3286  ㊆          CIRCLED IDEOGRAPH SEVEN
  0x3287  ㊇          CIRCLED IDEOGRAPH EIGHT
  0x3288  ㊈          CIRCLED IDEOGRAPH NINE
  0x3289  ㊉          CIRCLED IDEOGRAPH TEN
  0x328a  ㊊          CIRCLED IDEOGRAPH MOON
  0x328b  ㊋          CIRCLED IDEOGRAPH FIRE
  0x328c  ㊌          CIRCLED IDEOGRAPH WATER
  0x328d  ㊍          CIRCLED IDEOGRAPH WOOD
  0x328e  ㊎          CIRCLED IDEOGRAPH METAL
  0x328f  ㊏          CIRCLED IDEOGRAPH EARTH
  0x3290  ㊐          CIRCLED IDEOGRAPH SUN
  0x3291  ㊑          CIRCLED IDEOGRAPH STOCK
  0x3292  ㊒          CIRCLED IDEOGRAPH HAVE
  0x3293  ㊓          CIRCLED IDEOGRAPH SOCIETY
  0x3294  ㊔          CIRCLED IDEOGRAPH NAME
  0x3295  ㊕          CIRCLED IDEOGRAPH SPECIAL
  0x3296  ㊖          CIRCLED IDEOGRAPH FINANCIAL
  0x3297  ㊗          CIRCLED IDEOGRAPH CONGRATULATION
  0x3298  ㊘          CIRCLED IDEOGRAPH LABOR
  0x3299  ㊙          CIRCLED IDEOGRAPH SECRET
  0x329a  ㊚          CIRCLED IDEOGRAPH MALE
  0x329b  ㊛          CIRCLED IDEOGRAPH FEMALE
  0x329c  ㊜          CIRCLED IDEOGRAPH SUITABLE
  0x329d  ㊝          CIRCLED IDEOGRAPH EXCELLENT
  0x329e  ㊞          CIRCLED IDEOGRAPH PRINT
  0x329f  ㊟          CIRCLED IDEOGRAPH ATTENTION
  0x32a0  ㊠          CIRCLED IDEOGRAPH ITEM
  0x32a1  ㊡          CIRCLED IDEOGRAPH REST
  0x32a2  ㊢          CIRCLED IDEOGRAPH COPY
  0x32a3  ㊣          CIRCLED IDEOGRAPH CORRECT
  0x32a4  ㊤          CIRCLED IDEOGRAPH HIGH
  0x32a5  ㊥          CIRCLED IDEOGRAPH CENTRE
  0x32a6  ㊦          CIRCLED IDEOGRAPH LOW
  0x32a7  ㊧          CIRCLED IDEOGRAPH LEFT
  0x32a8  ㊨          CIRCLED IDEOGRAPH RIGHT
  0x32a9  ㊩          CIRCLED IDEOGRAPH MEDICINE
  0x32aa  ㊪          CIRCLED IDEOGRAPH RELIGION
  0x32ab  ㊫          CIRCLED IDEOGRAPH STUDY
  0x32ac  ㊬          CIRCLED IDEOGRAPH SUPERVISE
  0x32ad  ㊭          CIRCLED IDEOGRAPH ENTERPRISE
  0x32ae  ㊮          CIRCLED IDEOGRAPH RESOURCE
  0x32af  ㊯          CIRCLED IDEOGRAPH ALLIANCE
  0x32b0  ㊰          CIRCLED IDEOGRAPH NIGHT
  0x32b1  ㊱          CIRCLED NUMBER THIRTY SIX
  0x32b2  ㊲          CIRCLED NUMBER THIRTY SEVEN
  0x32b3  ㊳          CIRCLED NUMBER THIRTY EIGHT
  0x32b4  ㊴          CIRCLED NUMBER THIRTY NINE
  0x32b5  ㊵          CIRCLED NUMBER FORTY
  0x32b6  ㊶          CIRCLED NUMBER FORTY ONE
  0x32b7  ㊷          CIRCLED NUMBER FORTY TWO
  0x32b8  ㊸          CIRCLED NUMBER FORTY THREE
  0x32b9  ㊹          CIRCLED NUMBER FORTY FOUR
  0x32ba  ㊺          CIRCLED NUMBER FORTY FIVE
  0x32bb  ㊻          CIRCLED NUMBER FORTY SIX
  0x32bc  ㊼          CIRCLED NUMBER FORTY SEVEN
  0x32bd  ㊽          CIRCLED NUMBER FORTY EIGHT
  0x32be  ㊾          CIRCLED NUMBER FORTY NINE
  0x32bf  ㊿          CIRCLED NUMBER FIFTY
  0x32c0  ㋀          IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY
  0x32c1  ㋁          IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY
  0x32c2  ㋂          IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH
  0x32c3  ㋃          IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL
  0x32c4  ㋄          IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY
  0x32c5  ㋅          IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE
  0x32c6  ㋆          IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY
  0x32c7  ㋇          IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST
  0x32c8  ㋈          IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER
  0x32c9  ㋉          IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER
  0x32ca  ㋊          IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER
  0x32cb  ㋋          IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER
  0x32cc  ㋌          SQUARE HG
  0x32cd  ㋍          SQUARE ERG
  0x32ce  ㋎          SQUARE EV
  0x32cf  ㋏          LIMITED LIABILITY SIGN
  0x32d0  ㋐          CIRCLED KATAKANA A
  0x32d1  ㋑          CIRCLED KATAKANA I
  0x32d2  ㋒          CIRCLED KATAKANA U
  0x32d3  ㋓          CIRCLED KATAKANA E
  0x32d4  ㋔          CIRCLED KATAKANA O
  0x32d5  ㋕          CIRCLED KATAKANA KA
  0x32d6  ㋖          CIRCLED KATAKANA KI
  0x32d7  ㋗          CIRCLED KATAKANA KU
  0x32d8  ㋘          CIRCLED KATAKANA KE
  0x32d9  ㋙          CIRCLED KATAKANA KO
  0x32da  ㋚          CIRCLED KATAKANA SA
  0x32db  ㋛          CIRCLED KATAKANA SI
  0x32dc  ㋜          CIRCLED KATAKANA SU
  0x32dd  ㋝          CIRCLED KATAKANA SE
  0x32de  ㋞          CIRCLED KATAKANA SO
  0x32df  ㋟          CIRCLED KATAKANA TA
  0x32e0  ㋠          CIRCLED KATAKANA TI
  0x32e1  ㋡          CIRCLED KATAKANA TU
  0x32e2  ㋢          CIRCLED KATAKANA TE
  0x32e3  ㋣          CIRCLED KATAKANA TO
  0x32e4  ㋤          CIRCLED KATAKANA NA
  0x32e5  ㋥          CIRCLED KATAKANA NI
  0x32e6  ㋦          CIRCLED KATAKANA NU
  0x32e7  ㋧          CIRCLED KATAKANA NE
  0x32e8  ㋨          CIRCLED KATAKANA NO
  0x32e9  ㋩          CIRCLED KATAKANA HA
  0x32ea  ㋪          CIRCLED KATAKANA HI
  0x32eb  ㋫          CIRCLED KATAKANA HU
  0x32ec  ㋬          CIRCLED KATAKANA HE
  0x32ed  ㋭          CIRCLED KATAKANA HO
  0x32ee  ㋮          CIRCLED KATAKANA MA
  0x32ef  ㋯          CIRCLED KATAKANA MI
  0x32f0  ㋰          CIRCLED KATAKANA MU
  0x32f1  ㋱          CIRCLED KATAKANA ME
  0x32f2  ㋲          CIRCLED KATAKANA MO
  0x32f3  ㋳          CIRCLED KATAKANA YA
  0x32f4  ㋴          CIRCLED KATAKANA YU
  0x32f5  ㋵          CIRCLED KATAKANA YO
  0x32f6  ㋶          CIRCLED KATAKANA RA
  0x32f7  ㋷          CIRCLED KATAKANA RI
  0x32f8  ㋸          CIRCLED KATAKANA RU
  0x32f9  ㋹          CIRCLED KATAKANA RE
  0x32fa  ㋺          CIRCLED KATAKANA RO
  0x32fb  ㋻          CIRCLED KATAKANA WA
  0x32fc  ㋼          CIRCLED KATAKANA WI
  0x32fd  ㋽          CIRCLED KATAKANA WE
  0x32fe  ㋾          CIRCLED KATAKANA WO
  0x3300  ㌀          SQUARE APAATO
  0x3301  ㌁          SQUARE ARUHUA
  0x3302  ㌂          SQUARE ANPEA
  0x3303  ㌃          SQUARE AARU
  0x3304  ㌄          SQUARE ININGU
  0x3305  ㌅          SQUARE INTI
  0x3306  ㌆          SQUARE UON
  0x3307  ㌇          SQUARE ESUKUUDO
  0x3308  ㌈          SQUARE EEKAA
  0x3309  ㌉          SQUARE ONSU
  0x330a  ㌊          SQUARE OOMU
  0x330b  ㌋          SQUARE KAIRI
  0x330c  ㌌          SQUARE KARATTO
  0x330d  ㌍          SQUARE KARORII
  0x330e  ㌎          SQUARE GARON
  0x330f  ㌏          SQUARE GANMA
  0x3310  ㌐          SQUARE GIGA
  0x3311  ㌑          SQUARE GINII
  0x3312  ㌒          SQUARE KYURII
  0x3313  ㌓          SQUARE GIRUDAA
  0x3314  ㌔          SQUARE KIRO
  0x3315  ㌕          SQUARE KIROGURAMU
  0x3316  ㌖          SQUARE KIROMEETORU
  0x3317  ㌗          SQUARE KIROWATTO
  0x3318  ㌘          SQUARE GURAMU
  0x3319  ㌙          SQUARE GURAMUTON
  0x331a  ㌚          SQUARE KURUZEIRO
  0x331b  ㌛          SQUARE KUROONE
  0x331c  ㌜          SQUARE KEESU
  0x331d  ㌝          SQUARE KORUNA
  0x331e  ㌞          SQUARE KOOPO
  0x331f  ㌟          SQUARE SAIKURU
  0x3320  ㌠          SQUARE SANTIIMU
  0x3321  ㌡          SQUARE SIRINGU
  0x3322  ㌢          SQUARE SENTI
  0x3323  ㌣          SQUARE SENTO
  0x3324  ㌤          SQUARE DAASU
  0x3325  ㌥          SQUARE DESI
  0x3326  ㌦          SQUARE DORU
  0x3327  ㌧          SQUARE TON
  0x3328  ㌨          SQUARE NANO
  0x3329  ㌩          SQUARE NOTTO
  0x332a  ㌪          SQUARE HAITU
  0x332b  ㌫          SQUARE PAASENTO
  0x332c  ㌬          SQUARE PAATU
  0x332d  ㌭          SQUARE BAARERU
  0x332e  ㌮          SQUARE PIASUTORU
  0x332f  ㌯          SQUARE PIKURU
  0x3330  ㌰          SQUARE PIKO
  0x3331  ㌱          SQUARE BIRU
  0x3332  ㌲          SQUARE HUARADDO
  0x3333  ㌳          SQUARE HUIITO
  0x3334  ㌴          SQUARE BUSSYERU
  0x3335  ㌵          SQUARE HURAN
  0x3336  ㌶          SQUARE HEKUTAARU
  0x3337  ㌷          SQUARE PESO
  0x3338  ㌸          SQUARE PENIHI
  0x3339  ㌹          SQUARE HERUTU
  0x333a  ㌺          SQUARE PENSU
  0x333b  ㌻          SQUARE PEEZI
  0x333c  ㌼          SQUARE BEETA
  0x333d  ㌽          SQUARE POINTO
  0x333e  ㌾          SQUARE BORUTO
  0x333f  ㌿          SQUARE HON
  0x3340  ㍀          SQUARE PONDO
  0x3341  ㍁          SQUARE HOORU
  0x3342  ㍂          SQUARE HOON
  0x3343  ㍃          SQUARE MAIKURO
  0x3344  ㍄          SQUARE MAIRU
  0x3345  ㍅          SQUARE MAHHA
  0x3346  ㍆          SQUARE MARUKU
  0x3347  ㍇          SQUARE MANSYON
  0x3348  ㍈          SQUARE MIKURON
  0x3349  ㍉          SQUARE MIRI
  0x334a  ㍊          SQUARE MIRIBAARU
  0x334b  ㍋          SQUARE MEGA
  0x334c  ㍌          SQUARE MEGATON
  0x334d  ㍍          SQUARE MEETORU
  0x334e  ㍎          SQUARE YAADO
  0x334f  ㍏          SQUARE YAARU
  0x3350  ㍐          SQUARE YUAN
  0x3351  ㍑          SQUARE RITTORU
  0x3352  ㍒          SQUARE RIRA
  0x3353  ㍓          SQUARE RUPII
  0x3354  ㍔          SQUARE RUUBURU
  0x3355  ㍕          SQUARE REMU
  0x3356  ㍖          SQUARE RENTOGEN
  0x3357  ㍗          SQUARE WATTO
  0x3358  ㍘          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO
  0x3359  ㍙          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE
  0x335a  ㍚          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO
  0x335b  ㍛          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE
  0x335c  ㍜          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR
  0x335d  ㍝          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE
  0x335e  ㍞          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX
  0x335f  ㍟          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVEN
  0x3360  ㍠          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHT
  0x3361  ㍡          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINE
  0x3362  ㍢          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TEN
  0x3363  ㍣          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ELEVEN
  0x3364  ㍤          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE
  0x3365  ㍥          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN
  0x3366  ㍦          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN
  0x3367  ㍧          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN
  0x3368  ㍨          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN
  0x3369  ㍩          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN
  0x336a  ㍪          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN
  0x336b  ㍫          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN
  0x336c  ㍬          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
  0x336d  ㍭          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE
  0x336e  ㍮          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO
  0x336f  ㍯          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
  0x3370  ㍰          IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
  0x3371  ㍱          SQUARE HPA
  0x3372  ㍲          SQUARE DA
  0x3373  ㍳          SQUARE AU
  0x3374  ㍴          SQUARE BAR
  0x3375  ㍵          SQUARE OV
  0x3376  ㍶          SQUARE PC
  0x3377  ㍷          SQUARE DM
  0x3378  ㍸          SQUARE DM SQUARED
  0x3379  ㍹          SQUARE DM CUBED
  0x337a  ㍺          SQUARE IU
  0x337b  ㍻          SQUARE ERA NAME HEISEI
  0x337c  ㍼          SQUARE ERA NAME SYOUWA
  0x337d  ㍽          SQUARE ERA NAME TAISYOU
  0x337e  ㍾          SQUARE ERA NAME MEIZI
  0x337f  ㍿          SQUARE CORPORATION
  0x3380  ㎀          SQUARE PA AMPS
  0x3381  ㎁          SQUARE NA
  0x3382  ㎂          SQUARE MU A
  0x3383  ㎃          SQUARE MA
  0x3384  ㎄          SQUARE KA
  0x3385  ㎅          SQUARE KB
  0x3386  ㎆          SQUARE MB
  0x3387  ㎇          SQUARE GB
  0x3388  ㎈          SQUARE CAL
  0x3389  ㎉          SQUARE KCAL
  0x338a  ㎊          SQUARE PF
  0x338b  ㎋          SQUARE NF
  0x338c  ㎌          SQUARE MU F
  0x338d  ㎍          SQUARE MU G
  0x338e  ㎎          SQUARE MG
  0x338f  ㎏          SQUARE KG
  0x3390  ㎐          SQUARE HZ
  0x3391  ㎑          SQUARE KHZ
  0x3392  ㎒          SQUARE MHZ
  0x3393  ㎓          SQUARE GHZ
  0x3394  ㎔          SQUARE THZ
  0x3395  ㎕          SQUARE MU L
  0x3396  ㎖          SQUARE ML
  0x3397  ㎗          SQUARE DL
  0x3398  ㎘          SQUARE KL
  0x3399  ㎙          SQUARE FM
  0x339a  ㎚          SQUARE NM
  0x339b  ㎛          SQUARE MU M
  0x339c  ㎜          SQUARE MM
  0x339d  ㎝          SQUARE CM
  0x339e  ㎞          SQUARE KM
  0x339f  ㎟          SQUARE MM SQUARED
  0x33a0  ㎠          SQUARE CM SQUARED
  0x33a1  ㎡          SQUARE M SQUARED
  0x33a2  ㎢          SQUARE KM SQUARED
  0x33a3  ㎣          SQUARE MM CUBED
  0x33a4  ㎤          SQUARE CM CUBED
  0x33a5  ㎥          SQUARE M CUBED
